flow_id,role,module,title,entry,preconditions,steps_summary,assertions,refs,phase,is_completed
E2E-UF-015,管理员,协作与沟通,回复反馈并通知提交者（占位）,后台反馈详情页,管理员登录,"回复->触发通知","回复成功；通知产生（需实现后通过Outbox/Mock SMTP断言）","FR18",Phase1(MVP/占位),true
E2E-UF-016,管理员,组织管理,创建组织,组织创建入口,允许创建组织,"创建组织->进入组织后台","组织创建成功；进入组织作用域","FR19",Phase1(MVP),true
E2E-UF-017,管理员,组织管理,邀请成员加入组织（邀请链接）,组织成员管理页,管理员在组织内,"输入邮箱邀请->生成邀请链接->使用链接加入","成员出现在成员列表","FR20",Phase1(MVP),true
E2E-UF-018,管理员,组织管理,配置成员角色（RBAC）,组织成员管理页,存在成员,"设置成员角色->刷新权限","不同角色权限生效","FR24;FR25",Phase1(MVP),true
E2E-UF-019,管理员,组织管理,移除组织成员,组织成员管理页,存在可移除成员,"移除成员->确认","成员被移除；无法访问组织资源","FR21",Phase1(MVP),true
E2E-UF-020,用户,认证,用户注册账户,注册页,允许自注册,"填写注册信息->提交->登录","注册成功且可登录","FR22;FR23",Phase1(MVP),true
E2E-UF-021,管理员,项目管理,创建项目,项目管理页,管理员登录,"创建项目->进入项目","项目创建成功","FR30",Phase1(MVP),true
E2E-UF-022,管理员/终端用户,项目管理,配置嵌入式Widget,项目设置/Widget配置页,已创建项目,"修改Widget配置->保存","配置持久化；预览/嵌入代码反映配置","FR31",Phase1(MVP),true
E2E-UF-023,管理员/终端用户,项目管理,获取嵌入代码并在外部页面使用（集成级占位）,宿主页面+Widget,已创建项目且可复制嵌入代码,"复制嵌入代码->宿主页加载->打开Widget->提交反馈","Widget可加载；提交成功","FR32;FR1",Phase1(MVP/占位),true
E2E-UF-024,系统/产品团队,AI(基础),自动分类（关键词触发）,提交反馈后/详情页,准备包含特定关键词的文本,"提交反馈->查看AI分类/建议","出现自动分类结果或建议提示","FR33;FR34",Phase1(MVP),true
E2E-UF-025,系统/产品团队,AI(基础),重复反馈检测建议（占位）,创建/详情页,存在相似反馈A并创建相似反馈B,"创建B->查看重复建议","出现潜在重复建议UI","FR35",Phase1(MVP/占位),true
E2E-UF-026,匿名用户,权限控制,未登录访问后台受保护页面被拦截,直接访问后台URL,无,"访问受保护URL","重定向登录或401","FR25",Phase1(MVP),true
E2E-UF-027,开发者/客服,权限控制,无权编辑反馈状态（RBAC）,后台反馈详情页,开发者/客服登录,"尝试修改状态","不显示入口或操作失败且提示无权限","FR25;RBAC",Phase1(MVP),true
E2E-UF-028,非管理员,权限控制,无权进行组织管理操作（RBAC）,组织管理页/动作,非管理员登录,"访问组织管理页或执行邀请/移除/配置角色","被禁止访问","FR25;FR26;RBAC",Phase1(MVP),true
E2E-UF-029,运维,运维与部署,健康检查端点可用,/health,服务已运行,"请求/health","返回200且包含健康状态","FR39",Phase1(MVP),true
E2E-UF-030,运维/系统,可观测性,结构化日志产出（占位）,日志系统,可读取日志输出,"执行一次关键操作->检查日志","至少出现结构化日志条目","FR40",Phase1(MVP/占位),true
